ds,y
1/1/2002,13.725
2/1/2002,13.1875
3/1/2002,11.275
4/1/2002,8.679166667
5/1/2002,10.45833333
6/1/2002,9.245833333
7/1/2002,7.779166667
8/1/2002,6.7
9/1/2002,7.4375
10/1/2002,8.945833333
11/1/2002,9.058333333
12/1/2002,10.9125
13/01/2002,12.14583333
14/01/2002,10.4375
15/01/2002,9.175
16/01/2002,8.141666667
17/01/2002,7.504166667
18/01/2002,9.2
19/01/2002,10.87083333
20/01/2002,10.3875
21/01/2002,10.29583333
22/01/2002,10.5
23/01/2002,12.85833333
24/01/2002,11.2375
25/01/2002,12.59583333
26/01/2002,13.71666667
27/01/2002,14.07083333
28/01/2002,12.69166667
29/01/2002,12.53333333
30/01/2002,11.7625
31/01/2002,11.3
1/2/2002,10.7625
2/2/2002,12.18333333
3/2/2002,12.40833333
4/2/2002,12.15416667
5/2/2002,13.2875
6/2/2002,11.69166667
7/2/2002,12.95416667
8/2/2002,11.11666667
9/2/2002,10.2625
10/2/2002,11.08333333
11/2/2002,11.275
12/2/2002,11.94583333
13/02/2002,11.14166667
14/02/2002,10.6
15/02/2002,9.920833333
16/02/2002,10.0625
17/02/2002,9.4625
18/02/2002,9.879166667
19/02/2002,10.05
20/02/2002,8.954166667
21/02/2002,11.76666667
22/02/2002,10.61666667
23/02/2002,10.5
24/02/2002,10.575
25/02/2002,10.99166667
26/02/2002,11.95
27/02/2002,11.975
28/02/2002,10.09166667
1/3/2002,8.183333333
2/3/2002,7.6125
3/3/2002,8.391666667
4/3/2002,9.441666667
5/3/2002,10.37916667
6/3/2002,10.10416667
7/3/2002,13.24166667
8/3/2002,12.625
9/3/2002,11.95416667
10/3/2002,11.08333333
11/3/2002,12.1625
12/3/2002,12.2625
13/03/2002,10.23333333
14/03/2002,11.04583333
15/03/2002,10.91666667
16/03/2002,10.65833333
17/03/2002,11.725
18/03/2002,14.19166667
19/03/2002,14.8125
20/03/2002,15.08333333
21/03/2002,14.825
22/03/2002,17.25833333
23/03/2002,18.1875
24/03/2002,17.18333333
25/03/2002,16.80416667
26/03/2002,17.13333333
27/03/2002,17.1375
28/03/2002,15.51666667
29/03/2002,14.16666667
30/03/2002,15.62916667
31/03/2002,15.67083333
1/4/2002,14.2
2/4/2002,11.71666667
3/4/2002,10.25833333
4/4/2002,10.40833333
5/4/2002,11.625
6/4/2002,9.9125
7/4/2002,10.09583333
8/4/2002,12.7125
9/4/2002,13.81666667
10/4/2002,13.29166667
11/4/2002,10.5875
12/4/2002,12.65833333
13/04/2002,12.58333333
14/04/2002,12.17083333
15/04/2002,11.925
16/04/2002,11.11666667
17/04/2002,11.71666667
18/04/2002,12.94583333
19/04/2002,12.57083333
20/04/2002,14.76666667
21/04/2002,18.3875
22/04/2002,20.575
23/04/2002,20.3125
24/04/2002,19.79583333
25/04/2002,16.76666667
26/04/2002,15.75833333
27/04/2002,15.9375
28/04/2002,14.08333333
29/04/2002,14.07083333
30/04/2002,13.6375
1/5/2002,13.44583333
2/5/2002,12.4625
3/5/2002,13.31666667
4/5/2002,13.95416667
5/5/2002,16.10416667
6/5/2002,14.8625
7/5/2002,14.34166667
8/5/2002,14.59166667
9/5/2002,15.15416667
10/5/2002,13.33333333
11/5/2002,13.3125
12/5/2002,13.59583333
13/05/2002,14.8625
14/05/2002,16.89166667
15/05/2002,18.43333333
16/05/2002,17.3875
17/05/2002,14.9125
18/05/2002,14.7375
19/05/2002,16.90833333
20/05/2002,15.12916667
21/05/2002,15.34166667
22/05/2002,14.23333333
23/05/2002,14.57916667
24/05/2002,15.7875
25/05/2002,14.35416667
26/05/2002,14.10833333
27/05/2002,14.05
28/05/2002,14.8875
29/05/2002,15.92916667
30/05/2002,17.65833333
31/05/2002,19.1875
1/6/2002,17.67916667
2/6/2002,16.9375
3/6/2002,15.89166667
4/6/2002,15.01666667
5/6/2002,14.7625
6/6/2002,14.65416667
7/6/2002,15.15833333
8/6/2002,14.12083333
9/6/2002,14.78333333
10/6/2002,16.15833333
11/6/2002,19.36666667
12/6/2002,21.53333333
13/06/2002,22.38333333
14/06/2002,18.77916667
