ds	yhat
2022-01-01	10.20
2022-01-02	10.03
2022-01-03	9.78
2022-01-04	9.74
2022-01-05	9.66
2022-01-06	9.74
2022-01-07	9.62
2022-01-08	9.47
2022-01-09	9.44
2022-01-10	9.30
2022-01-11	9.44
2022-01-12	9.49
2022-01-13	9.58
2022-01-14	9.59
2022-01-15	9.37
2022-01-16	9.24
2022-01-17	9.20
2022-01-18	9.44
2022-01-19	9.47
2022-01-20	9.41
2022-01-21	9.58
2022-01-22	9.69
2022-01-23	9.61
2022-01-24	9.67
2022-01-25	9.97
2022-01-26	9.95
2022-01-27	9.91
2022-01-28	9.83
2022-01-29	9.83
2022-01-30	10.01
2022-01-31	9.99
2022-02-01	10.07
2022-02-02	10.14
2022-02-03	10.15
2022-02-04	10.18
2022-02-05	10.24
2022-02-06	10.34
2022-02-07	10.36
2022-02-08	10.28
2022-02-09	10.16
2022-02-10	10.18
2022-02-11	10.23
2022-02-12	10.19
2022-02-13	10.07
2022-02-14	10.19
2022-02-15	10.39
2022-02-16	10.29
2022-02-17	10.38
2022-02-18	10.49
2022-02-19	10.41
2022-02-20	10.33
2022-02-21	10.23
2022-02-22	10.37
2022-02-23	10.59
2022-02-24	10.67
2022-02-25	10.62
2022-02-26	10.71
2022-02-27	10.77
2022-02-28	10.86
2022-03-01	11.14
2022-03-02	11.36
2022-03-03	11.55
2022-03-04	11.41
2022-03-05	11.36
2022-03-06	11.47
2022-03-07	11.61
2022-03-08	11.81
2022-03-09	11.82
2022-03-10	12.10
2022-03-11	12.23
2022-03-12	12.16
2022-03-13	12.30
2022-03-14	12.44
2022-03-15	12.54
2022-03-16	12.51
2022-03-17	12.50
2022-03-18	12.48
2022-03-19	12.65
2022-03-20	12.69
2022-03-21	12.60
2022-03-22	12.78
2022-03-23	12.81
2022-03-24	12.93
2022-03-25	12.98
2022-03-26	13.10
2022-03-27	13.21
2022-03-28	13.00
2022-03-29	13.04
2022-03-30	13.12
2022-03-31	13.29
2022-04-01	13.28
2022-04-02	13.22
2022-04-03	13.46
2022-04-04	13.55
2022-04-05	13.62
2022-04-06	13.78
2022-04-07	14.00
2022-04-08	13.95
2022-04-09	13.89
2022-04-10	13.90
2022-04-11	13.89
2022-04-12	14.22
2022-04-13	14.31
2022-04-14	14.33
2022-04-15	14.38
2022-04-16	14.40
2022-04-17	14.52
2022-04-18	14.57
2022-04-19	14.85
2022-04-20	14.99
2022-04-21	14.85
2022-04-22	14.71
2022-04-23	14.74
2022-04-24	14.88
2022-04-25	14.84
2022-04-26	14.89
2022-04-27	15.12
2022-04-28	15.26
2022-04-29	15.12
2022-04-30	15.21
2022-05-01	15.39
2022-05-02	15.30
2022-05-03	15.36
2022-05-04	15.37
2022-05-05	15.43
2022-05-06	15.61
2022-05-07	15.67
2022-05-08	15.69
2022-05-09	15.76
2022-05-10	15.96
2022-05-11	16.15
2022-05-12	16.35
2022-05-13	16.53
2022-05-14	16.71
2022-05-15	16.64
2022-05-16	16.59
2022-05-17	16.85
2022-05-18	17.11
2022-05-19	17.24
2022-05-20	17.22
2022-05-21	17.51
2022-05-22	17.72
2022-05-23	17.66
2022-05-24	17.97
